Cluster i: 0
total projects:143
total patterns:86
'(.)'	12,412,757,759,852,961,1087,1221,1511
total projects:3
total patterns:1
'-netdev\\s'	560,1317,1501




Cluster i: 896
total projects:3
total patterns:1
'Accelerate'	531,832,846




Cluster i: 897
total projects:3
total patterns:1
'<ci.*</ci>'	122,1015,1032




Cluster i: 898
total projects:3
total patterns:1
'connect1 ='	262,267,268




Cluster i: 899
total projects:3
total patterns:1
'(\\"|\\\')'	1183,1506,1510




Cluster i: 900
total projects:3
total patterns:1
'num_dim.*='	262,267,268




Cluster i: 901
total projects:3
total patterns:1
'^([0-9.]+)'	241,874,1249




Cluster i: 902
total projects:3
total patterns:1
'__(\\w+)__'	1007,1015,1032




Cluster i: 903
total projects:3
total patterns:1
'\\[[^]]+]$'	1269,1469,1498




Cluster i: 904
total projects:3
total patterns:1
'DD>([^<]+)'	1007,1015,1032




Cluster i: 905
total projects:3
total patterns:1
'#egg=(.*)$'	1033,1263,1290




Cluster i: 906
total projects:3
total patterns:1
'(.+):<(.+)'	241,874,1249




Cluster i: 907
total projects:3
total patterns:1
'^Error:.*$'	560,1317,1501




Cluster i: 908
total projects:3
total patterns:1
'^\\/\\w\\/'	1007,1015,1032




Cluster i: 909
total projects:3
total patterns:1
'FAIL Exited'	566,1015,1032




Cluster i: 910
total projects:3
total patterns:1
'\\${(\\w+)}'	1007,1015,1032




Cluster i: 911
total projects:3
total patterns:1
'\ndrive_add'	560,1317,1501




Cluster i: 912
total projects:3
total patterns:1
'([sh]db)\\s'	560,1317,1501




Cluster i: 913
total projects:3
total patterns:1
'^uninst .*$'	1007,1015,1032




Cluster i: 914
total projects:3
total patterns:1
'<h1>.*</h1>'	247,919,1007




Cluster i: 915
total projects:3
total patterns:1
'CPU #(\\d+)'	560,1317,1501




Cluster i: 916
total projects:3
total patterns:1
'^BLOCK (.*)'	262,267,268




Cluster i: 917
total projects:3
total patterns:1
'<(.*):(.*)>'	241,874,1249




Cluster i: 918
total projects:3
total patterns:1
'defines.inc'	1007,1015,1032




Cluster i: 919
total projects:3
total patterns:1
'wrong|error'	1007,1015,1032




Cluster i: 920
total projects:3
total patterns:1
'num_elem.*='	262,267,268




Cluster i: 921
total projects:3
total patterns:1
'\\d+\\s\\d+:'	560,1317,1501




Cluster i: 922
total projects:3
total patterns:1
'\\((\\w+)\\)'	274,573,1580




Cluster i: 923
total projects:3
total patterns:1
'\\%\\s+(.*)$'	1007,1015,1032




Cluster i: 924
total projects:3
total patterns:1
'\\d;\\s*url='	625,997,1126




Cluster i: 925
total projects:3
total patterns:1
'([^/]+)\\.a$'	534,1007,1466




Cluster i: 926
total projects:3
total patterns:1
'^["<].*[>"]$'	0,139,785




Cluster i: 927
total projects:3
total patterns:1
'lib(.*)\\.so'	518,757,787




Cluster i: 928
total projects:3
total patterns:1
'^\\${\\d+\\/'	52,188,597




Cluster i: 929
total projects:3
total patterns:1
'num_nodes.*='	262,267,268




Cluster i: 930
total projects:3
total patterns:1
'\\d+ (\\d+):'	560,1317,1501




Cluster i: 931
total projects:3
total patterns:1
'^[0-9]+[Ee]$'	794,1025,1379




Cluster i: 932
total projects:3
total patterns:1
'\\*\\s[^:]+:'	526,1046,1642




Cluster i: 933
total projects:3
total patterns:1
'crash|assert'	1007,1015,1032




Cluster i: 934
total projects:3
total patterns:1
'\ndevice_add'	560,1317,1501




Cluster i: 935
total projects:3
total patterns:1
'skips=(\\d+)'	122,1015,1032




Cluster i: 936
total projects:3
total patterns:1
'.* = (.*);\n'	515,1245,1373




Cluster i: 937
total projects:3
total patterns:1
'.*node(\\d+)'	560,1317,1501




Cluster i: 938
total projects:3
total patterns:1
' DELETED ---$'	122,1015,1032




Cluster i: 939
total projects:3
total patterns:1
'^--- NEW FILE'	122,1015,1032




Cluster i: 940
total projects:3
total patterns:1
'.*\\.tar\\.gz'	1007,1015,1032




Cluster i: 941
total projects:3
total patterns:1
'.*\\.tar\\.bz'	1007,1015,1032




Cluster i: 942
total projects:3
total patterns:1
'^Transmitting'	241,874,1249




Cluster i: 943
total projects:3
total patterns:1
'PROCESS_CHECK'	560,1317,1501




Cluster i: 944
total projects:3
total patterns:1
'\\{\\{|\\}\\}'	46,1050,1469




Cluster i: 945
total projects:3
total patterns:1
'ntpdate|w32tm'	560,1317,1501




Cluster i: 946
total projects:3
total patterns:1
'^\\${\\d+[:}]'	52,188,597




Cluster i: 947
total projects:3
total patterns:1
'LIST OF FACES'	262,267,268




Cluster i: 948
total projects:3
total patterns:1
'\\s*/[/*]\\s*'	557,1223,1420




Cluster i: 949
total projects:3
total patterns:1
'.*\\s(\\d+).*'	262,267,268




Cluster i: 950
total projects:3
total patterns:1
'errors=(\\d+)'	122,1015,1032




Cluster i: 951
total projects:3
total patterns:1
'LIST OF EDGES'	262,267,268




Cluster i: 952
total projects:3
total patterns:1
'^_ZThn[0-9]+_'	1007,1015,1032




Cluster i: 953
total projects:3
total patterns:1
'([^/]+)\\.so$'	534,1007,1466




Cluster i: 954
total projects:3
total patterns:1
'unzip: exiting'	1007,1015,1032




Cluster i: 955
total projects:3
total patterns:1
'\\s+(\\r?\\n)$'	1054,1087,1580




Cluster i: 956
total projects:3
total patterns:1
'mobile-l10n.js'	1007,1015,1032




Cluster i: 957
total projects:3
total patterns:1
'([\\w-]+):(.+)'	1269,1469,1498




Cluster i: 958
total projects:3
total patterns:1
'\\w+\\.feature'	1025,1215,1423




Cluster i: 959
total projects:3
total patterns:1
'length (\\d*):'	560,1317,1501




Cluster i: 960
total projects:3
total patterns:1
'\\A\\s\\s\\S+,'	262,267,268




Cluster i: 961
total projects:3
total patterns:1
'macaddr=(\\S+)'	560,1317,1501




Cluster i: 962
total projects:3
total patterns:1
'(\\S+): (\\S+)'	560,1317,1501




Cluster i: 963
total projects:3
total patterns:1
'^.+\\:.+(\\d+)'	241,874,1249




Cluster i: 964
total projects:3
total patterns:1
'failures=(\\d+)'	122,1015,1032




Cluster i: 965
total projects:3
total patterns:1
'offset (.*) sec'	560,1317,1501




Cluster i: 966
total projects:3
total patterns:1
'L -(\\d+) -\\d+'	257,1319,1448




Cluster i: 967
total projects:3
total patterns:1
'^[a-z0-9_\\-]+$'	247,919,1007




Cluster i: 968
total projects:3
total patterns:1
'=[a-fA-F0-9]{2}'	1054,1087,1580




Cluster i: 969
total projects:3
total patterns:1
'\\s+\\((.*)\\)$'	1223,1420,1495




Cluster i: 970
total projects:3
total patterns:1
'Number of nodes'	262,267,268




Cluster i: 971
total projects:3
total patterns:1
'^flags\\s*:(.*)'	560,1317,1501




Cluster i: 972
total projects:3
total patterns:1
'\\(([^()]+)\\)$'	526,1046,1642




Cluster i: 973
total projects:3
total patterns:1
'-arch\\s+(\\w+)'	356,1087,1580




Cluster i: 974
total projects:3
total patterns:1
'unknown operand'	1007,1015,1032




Cluster i: 975
total projects:3
total patterns:1
'>([^<]+)</TITLE'	1007,1015,1032




Cluster i: 976
total projects:3
total patterns:1
'(\\w+)\\|(\\w+)'	560,1317,1501




Cluster i: 977
total projects:3
total patterns:1
'^(\\w+)\\s+(.+)'	241,874,1249




Cluster i: 978
total projects:3
total patterns:1
'^begin [0-7]{3}'	1007,1015,1032




Cluster i: 979
total projects:3
total patterns:1
'successes=(\\d+)'	122,1015,1032




Cluster i: 980
total projects:3
total patterns:1
'(\\w+) as (\\w+)'	126,147,181




Cluster i: 981
total projects:3
total patterns:1
'^[\'"](.*)[\'"]$'	308,743,1216




Cluster i: 982
total projects:3
total patterns:1
u'cms/page/(\\d+)'	1121,1320,1355




Cluster i: 983
total projects:3
total patterns:1
'^(.*)`(.*)`(.*)$'	642,971,1203




Cluster i: 984
total projects:3
total patterns:1
'else[ \\f\\t]+if'	53,171,1381




Cluster i: 985
total projects:3
total patterns:1
'requestContext, '	257,1319,1448




Cluster i: 986
total projects:3
total patterns:1
'project-root.jam'	241,874,1249




Cluster i: 987
total projects:3
total patterns:1
'^--out-xml=(.*)$'	241,874,1249




Cluster i: 988
total projects:3
total patterns:1
'__FAIL(.*)__FAIL'	1007,1015,1032




Cluster i: 989
total projects:3
total patterns:1
'project.pbxproj$'	289,638,956




Cluster i: 990
total projects:3
total patterns:1
'/_ah/upload/(.*)'	1004,1075,1495




Cluster i: 991
total projects:3
total patterns:1
u'^\\d+(\\.\\d+)*$'	1263,1580,1594




Cluster i: 992
total projects:3
total patterns:1
"'(..+)'\\s+(..+$)"	531,832,846




Cluster i: 993
total projects:3
total patterns:1
'^\\*\\*\\d+\\*\\*'	1007,1015,1032




Cluster i: 994
total projects:3
total patterns:1
'vport[0-9]p[0-9]+'	560,1317,1501




Cluster i: 995
total projects:3
total patterns:1
'^[a-zA-Z]+(\\s|$)'	1007,1015,1032




Cluster i: 996
total projects:3
total patterns:1
'\\s*(-?\\d+)\\s*$'	12,1087,1580




Cluster i: 997
total projects:3
total patterns:1
'^[0-9a-f]{20,40}$'	174,422,1644




Cluster i: 998
total projects:3
total patterns:1
'([0-9]+):([0-9]+)'	165,903,1545




Cluster i: 999
total projects:3
total patterns:1
'^(.+)[:(]\\d+[:)]'	306,322,464




Cluster i: 1000
total projects:3
total patterns:1
'^@[Dd][Aa][Tt][Aa]'	531,832,846




Cluster i: 1001
total projects:3
total patterns:1
'ERROR[: ]|failed: '	1025,1322,1505




Cluster i: 1002
total projects:3
total patterns:1
'sources.redhat.com'	1007,1015,1032




Cluster i: 1003
total projects:3
total patterns:1
'(Jamfile<.*>)%(.*)'	241,874,1249




Cluster i: 1004
total projects:3
total patterns:1
'^[+/0-9A-Za-z]*=*$'	1007,1015,1032




Cluster i: 1005
total projects:3
total patterns:1
'(^|/)Change[Ll]og$'	526,1046,1642




Cluster i: 1006
total projects:3
total patterns:1
'md[0-9]$|sd[a-z]+$'	1183,1506,1510




Cluster i: 1007
total projects:3
total patterns:1
'Number of elements'	262,267,268




Cluster i: 1008
total projects:3
total patterns:1
'\\\\?(gettext|_)\\('	252,1087,1495




Cluster i: 1009
total projects:3
total patterns:1
'--test-config=(.*)$'	241,874,1249




Cluster i: 1010
total projects:3
total patterns:1
'.*libtdsodbc.*\\.so'	1415,1469,1580




Cluster i: 1011
total projects:3
total patterns:1
'.*\\s=\\s(\\d+)\\s;'	262,267,268




Cluster i: 1012
total projects:3
total patterns:1
'(-[a-zA-Z])([0-9]*)'	560,1317,1501




Cluster i: 1013
total projects:3
total patterns:1
'([A-Za-z]+)([0-9]+)'	43,518,787




Cluster i: 1014
total projects:3
total patterns:1
'^(\\w+)=([a-f0-9]+)'	1263,1580,1594




Cluster i: 1015
total projects:3
total patterns:1
'pip(\\d(\\.\\d)?)?$'	1263,1580,1594




Cluster i: 1016
total projects:3
total patterns:1
'--user-config=(.*)$'	241,874,1249




Cluster i: 1017
total projects:3
total patterns:1
'(\\d+)(st|nd|rd|th)'	337,992,1112




Cluster i: 1018
total projects:3
total patterns:1
'/(tools|libs)/(.*)$'	241,874,1249




Cluster i: 1019
total projects:3
total patterns:1
'<files>\\s*</files>'	122,1015,1032




Cluster i: 1020
total projects:3
total patterns:1
'\\s*define|\\s*endef'	1007,1015,1032




Cluster i: 1021
total projects:3
total patterns:1
'.*libessqlsrv.*\\.so'	1415,1469,1580




Cluster i: 1022
total projects:3
total patterns:1
'^content-type: (.*)$'	557,1223,1420




Cluster i: 1023
total projects:3
total patterns:1
'^##AGENT-WARNING##.*'	1007,1015,1032




Cluster i: 1024
total projects:3
total patterns:1
'\\S+\\s(\\S+)\\t(.+)'	696,1025,1322




Cluster i: 1025
total projects:3
total patterns:1
'MemFree:\\s+(\\d+).*'	560,1317,1501




Cluster i: 1026
total projects:3
total patterns:1
'__startuptime,(\\d*)'	1007,1015,1032




Cluster i: 1027
total projects:3
total patterns:1
'^[cC](\\:[\\\\\\/]+)'	1007,1015,1032




Cluster i: 1028
total projects:3
total patterns:1
'HTTP/1.[01] ([0-9]+)'	552,800,1469




Cluster i: 1029
total projects:3
total patterns:1
'\\s+(-\\S+)\\s+(.*)$'	1223,1420,1495




Cluster i: 1030
total projects:3
total patterns:1
'\\\\u([0-9a-fA-F]{4})'	1007,1015,1032




Cluster i: 1031
total projects:3
total patterns:1
'^(.+)(\\[[^\\]]+\\])$'	1263,1290,1580




Cluster i: 1032
total projects:3
total patterns:1
'TREEVIS ([^ ]+) (.*)$'	1007,1015,1032




Cluster i: 1033
total projects:3
total patterns:1
'([-0-9.]+)([a-zA-Z]+)'	518,757,787




Cluster i: 1034
total projects:3
total patterns:1
'^[a-zA-Z0-9_-]{3,20}$'	1294,1337,1595




Cluster i: 1035
total projects:3
total patterns:1
'join_mcast_pid:(\\d+)'	560,1317,1501




Cluster i: 1036
total projects:3
total patterns:1
'\\s+(-\\S+):\\s+(.*)$'	1223,1420,1495




Cluster i: 1037
total projects:3
total patterns:1
'\\\\([0-3][0-7][0-7])'	1007,1015,1032




Cluster i: 1038
total projects:3
total patterns:1
'.*(\\.ipy|\\.py[w]?)$'	422,747,1517




Cluster i: 1039
total projects:3
total patterns:1
'00000000 <(v8dbg_.*)>:'	467,505,1466




Cluster i: 1040
total projects:3
total patterns:1
'^([A-Za-z]+):\\s+(.+)$'	1183,1506,1510




Cluster i: 1041
total projects:3
total patterns:1
'([A-Z]+)\\s+:\\s+(.*)$'	1183,1506,1510




Cluster i: 1042
total projects:3
total patterns:1
'(\\/+[a-z]*\\/[a-z]*$)'	560,1317,1501




Cluster i: 1043
total projects:3
total patterns:1
'\\/\\* END LOOP \\*\\/'	1007,1015,1032




Cluster i: 1044
total projects:3
total patterns:1
'\\s*,?\\s*new Array\\('	147,181,456




Cluster i: 1045
total projects:3
total patterns:1
'\\w+\\s+\\[?(\\w+)\\]?'	560,1317,1501




Cluster i: 1046
total projects:3
total patterns:1
'<path\\[(\\d+)\\]>(.*)'	1004,1075,1495




Cluster i: 1047
total projects:3
total patterns:1
'(\\w+)-(\\w+)\\ : (.*)'	560,1317,1501




Cluster i: 1048
total projects:3
total patterns:1
'.*(\\.so|\\.py[cod]?)$'	422,747,1517




Cluster i: 1049
total projects:3
total patterns:1
"'([..\\n]+)'\\s+(..+$)"	531,832,846




Cluster i: 1050
total projects:3
total patterns:1
'^\\s*([A-Z_]+): (\\d+)'	462,690,1119




Cluster i: 1051
total projects:3
total patterns:1
'VmRSS:[\\t ]*(\\d+) kB'	560,1317,1501




Cluster i: 1052
total projects:3
total patterns:1
'available: (\\d+) nodes'	560,1317,1501




Cluster i: 1053
total projects:3
total patterns:1
'([^/\\\\]+)\\.xcodeproj'	289,638,956




Cluster i: 1054
total projects:3
total patterns:1
'Operation not permitted'	1007,1015,1032




Cluster i: 1055
total projects:3
total patterns:1
'expectedFailures=(\\d+)'	122,1015,1032




Cluster i: 1056
total projects:3
total patterns:1
'\\.(title|a|dd|h[0-9])$'	1007,1015,1032




Cluster i: 1057
total projects:3
total patterns:1
'\\[SQLCode\\: (\\d+)\\]'	1415,1469,1580




Cluster i: 1058
total projects:3
total patterns:1
'(driver|source|address)'	947,996,1491




Cluster i: 1059
total projects:3
total patterns:1
'^(.*)~([+-][0-9]{2})00$'	1269,1469,1498




Cluster i: 1060
total projects:3
total patterns:1
'^\\d+\\.\\d+(\\.\\d+)?$'	190,710,1288




Cluster i: 1061
total projects:3
total patterns:1
'^<type [\'"](.+)[\'"]>$'	498,602,1495




Cluster i: 1062
total projects:3
total patterns:1
'ks\\=[\\w\\d\\:\\.\\/]+'	560,1317,1501




Cluster i: 1063
total projects:3
total patterns:1
'\\s+Flags for (\\S.+):$'	1223,1420,1495




Cluster i: 1064
total projects:3
total patterns:1
'VmSwap:[\\t ]*(\\d+) kB'	560,1317,1501




Cluster i: 1065
total projects:3
total patterns:1
'^[a-z0-9][a-z0-9_]{2,}$'	1269,1469,1498




Cluster i: 1066
total projects:3
total patterns:1
'\n__com.redhat_drive_add'	560,1317,1501




Cluster i: 1067
total projects:3
total patterns:1
'Change (\\d+) submitted.'	122,1015,1032




Cluster i: 1068
total projects:3
total patterns:1
'^\\s*([A-Z_]+) = (\\d+)$'	462,690,1119




Cluster i: 1069
total projects:3
total patterns:1
'^\\s+at 0x[0-9A-Fa-f]+: '	1007,1015,1032




Cluster i: 1070
total projects:3
total patterns:1
'(\\d+)\\+\\d records out'	560,1317,1501




Cluster i: 1071
total projects:3
total patterns:1
'Send buffer size: (\\d+)'	560,1317,1501




Cluster i: 1072
total projects:3
total patterns:1
'id:(\\d{1}):initdefault:'	492,627,1364




Cluster i: 1073
total projects:3
total patterns:1
'\\/\\* BEGIN LOOP \\*\\/'	1007,1015,1032




Cluster i: 1074
total projects:3
total patterns:1
'Fail(ed|ure in) example:'	557,1223,1420




Cluster i: 1075
total projects:3
total patterns:1
'\\s+Flags from (\\S.+):$'	1223,1420,1495




Cluster i: 1076
total projects:3
total patterns:1
'^\\s*finally:\\s*(#.*)?$'	1269,1335,1498




Cluster i: 1077
total projects:3
total patterns:1
'^\\s+by 0x[0-9A-Fa-f]+: '	1007,1015,1032




Cluster i: 1078
total projects:3
total patterns:1
'Microsoft Visual Studio 9'	241,874,1249




Cluster i: 1079
total projects:3
total patterns:1
'Microsoft Visual Studio 8'	241,874,1249




Cluster i: 1080
total projects:3
total patterns:1
'0 INFO SimpleTest START.*'	1007,1015,1032




Cluster i: 1081
total projects:3
total patterns:1
'.*OOM max count: (\\d+).*'	1007,1015,1032




Cluster i: 1082
total projects:3
total patterns:1
'^([a-z\\._]*) = ([0-9]*)$'	1183,1506,1510




Cluster i: 1083
total projects:3
total patterns:1
'.*_runfac(\\d*\\.?\\d*).*'	262,267,268




Cluster i: 1084
total projects:3
total patterns:1
'(^|[\\W_])sample\\d*[\\W_]'	1269,1469,1498




Cluster i: 1085
total projects:3
total patterns:1
'easy_install(-\\d\\.\\d)?$'	1263,1580,1594




Cluster i: 1086
total projects:3
total patterns:1
'Microsoft Visual Studio 11'	241,874,1249




Cluster i: 1087
total projects:3
total patterns:1
'Microsoft Visual Studio 10'	241,874,1249




Cluster i: 1088
total projects:3
total patterns:1
'unexpectedSuccesses=(\\d+)'	122,1015,1032




Cluster i: 1089
total projects:3
total patterns:1
'(.*):\t?........ (.) (.*)$'	12,1054,1087




Cluster i: 1090
total projects:3
total patterns:1
'^[ \t]*import[ \t]+([^#]+)'	12,1054,1087




Cluster i: 1091
total projects:3
total patterns:1
'\\\\([0-9a-fA-F]{1,6})\\s?'	113,147,181




Cluster i: 1092
total projects:3
total patterns:1
'(\\d+)\\+(\\d+) records in'	560,1317,1501




Cluster i: 1093
total projects:3
total patterns:1
'return code \\[([0-9]+)\\]'	1007,1015,1032




Cluster i: 1094
total projects:3
total patterns:1
'(\\d+)\\s+(\\d+)\\s+(\\d+)'	1183,1506,1510




Cluster i: 1095
total projects:3
total patterns:1
'^[http|file|chrome|about].*'	1007,1015,1032




Cluster i: 1096
total projects:3
total patterns:1
'^RADIO/radio[.](.+[.])?img$'	968,1016,1116




Cluster i: 1097
total projects:3
total patterns:1
'_F2PY_STRING_CONSTANT_\\d+_'	356,518,787




Cluster i: 1098
total projects:3
total patterns:1
'\tobjectVersion = ([0-9]+);'	289,638,956




Cluster i: 1099
total projects:3
total patterns:1
'^(\\s*)(def|class)(\\s.*)?$'	498,633,1235




Cluster i: 1100
total projects:3
total patterns:1
'(\\d+)\\+(\\d+) records out'	560,1317,1501




Cluster i: 1101
total projects:3
total patterns:1
'^\\s*<CxxTest\\s+world>\\s*$'	0,139,785




Cluster i: 1102
total projects:3
total patterns:1
'^[0-9]{4}-[0-9]{2}-[0-9]{2}$'	171,490,1381




Cluster i: 1103
total projects:3
total patterns:1
'^([MAGCUD_ ][MAGCUD_ ]) (.+)'	241,874,1249




Cluster i: 1104
total projects:3
total patterns:1
'browser.search.order.([1-9])'	1007,1015,1032




Cluster i: 1105
total projects:3
total patterns:1
'Committed revision (\\d+)\\.'	122,1015,1032




Cluster i: 1106
total projects:3
total patterns:1
'^#define ([A-Z]+)\\s+(\\d+)$'	462,690,1119




Cluster i: 1107
total projects:3
total patterns:1
u'(\\w+)_(\\d+)_(\\d+)_(\\w+)$'	1263,1580,1594




Cluster i: 1108
total projects:3
total patterns:1
'----gnatsweb-attachment----\n'	1007,1015,1032




Cluster i: 1109
total projects:3
total patterns:1
'(\\d+(\\.\\d+)?) (K|M|G|T)b?$'	12,101,827




Cluster i: 1110
total projects:3
total patterns:1
'^(\\d+\\.|[-*|]|\\[\\d+\\]) .'	462,690,1119




Cluster i: 1111
total projects:3
total patterns:1
'md[0-9]$|sd[a-z]+$|xvd[a-z]+$'	1183,1506,1510




Cluster i: 1112
total projects:3
total patterns:1
'\\s*(\\d+)\\s*,\\s*(\\d+)\\s*'	1087,1580,1621




Cluster i: 1113
total projects:3
total patterns:1
'\\w*:\\w*:\\w*:\\w*:\\w*:\\w*'	560,1317,1501




Cluster i: 1114
total projects:3
total patterns:1
'(\\d+)(\\s+\\d){3,}\\s+([TF])'	262,267,268




Cluster i: 1115
total projects:3
total patterns:1
'%.*coding[:=]\\s*([-\\w\\.]+)'	317,428,466




Cluster i: 1116
total projects:3
total patterns:1
'(\\d+)(\\s+\\d+){2}\\s+([TF])'	262,267,268




Cluster i: 1117
total projects:3
total patterns:1
'HTTP\\((\\.\\.(\\/\\.\\.)*)\\)'	1007,1015,1032




Cluster i: 1118
total projects:3
total patterns:1
'\\s?([a-zA-Z_\\d]+tset)\\s+fed'	1025,1215,1423




Cluster i: 1119
total projects:3
total patterns:1
'/dev/cdrom-\\w+|/dev/cdrom\\d*'	560,1317,1501




Cluster i: 1120
total projects:3
total patterns:1
'^\\s*(([A-Z][a-z]*)+) = (\\d+)'	462,690,1119




Cluster i: 1121
total projects:3
total patterns:1
'wg_hcyl_pin_(\\d*).*_h(\\d*).*'	262,267,268




Cluster i: 1122
total projects:3
total patterns:1
'^\\s*<CxxTest\\s+preamble>\\s*$'	0,139,785




Cluster i: 1123
total projects:3
total patterns:1
'\\s*\\#\\s*include\\s+<cxxtest/'	0,139,785




Cluster i: 1124
total projects:3
total patterns:1
'= *([0-9]*.+[0-9]*) ([a-zA-Z]*)'	560,1317,1501




Cluster i: 1125
total projects:3
total patterns:1
'^.*\\(\\s*(.*)\\s*\\).*\\](.*)$'	262,267,268




Cluster i: 1126
total projects:3
total patterns:1
'^([>\\w\\-]+)\\s*:\\s*(.*)\\s*$'	1007,1015,1032




Cluster i: 1127
total projects:3
total patterns:1
'^\\s+File .* in runUntilCurrent'	557,1223,1420




Cluster i: 1128
total projects:3
total patterns:1
'\\^timerConfirmation\\^=\\^no\\^'	647,653,746




Cluster i: 1129
total projects:3
total patterns:1
'BUG:.*---\\[ end trace .* \\]---'	560,1317,1501




Cluster i: 1130
total projects:3
total patterns:1
'([0-9A-F]{1,2}:){5}[0-9A-F]{1,2}'	947,996,1491




Cluster i: 1131
total projects:3
total patterns:1
'\n(Contents of the|The section) '	1007,1015,1032




Cluster i: 1132
total projects:3
total patterns:1
'.*note:.*is clipping its content'	534,1007,1466




Cluster i: 1133
total projects:3
total patterns:1
'.*https:\\/\\/aus2.mozilla.org.*'	1007,1015,1032




Cluster i: 1134
total projects:3
total patterns:1
'^[ \t]*from[ \t]+([^ \t]+)[ \t]+'	12,1054,1087




Cluster i: 1135
total projects:3
total patterns:1
'(^\\s+Invalid read of size )\\d+'	1007,1015,1032




Cluster i: 1136
total projects:3
total patterns:1
'Registering archive: (\\S+)\\s*$'	122,1015,1032




Cluster i: 1137
total projects:3
total patterns:1
'^\\s*#\\s*include\\s*<(gtest/.+)>'	592,896,1403




Cluster i: 1138
total projects:3
total patterns:1
"\\s+\\(default:\\s+\\'(.*)\\'\\)$"	1223,1420,1495




Cluster i: 1139
total projects:3
total patterns:1
'<toolset.*version>(\\d+)[.](\\d*)'	241,874,1249




Cluster i: 1140
total projects:3
total patterns:1
'(\\d+),\\s*(.+),\\s*(.+),\\s*(.+)'	262,267,268




Cluster i: 1141
total projects:3
total patterns:1
'\\$\\(([a-zA-Z_][a-zA-Z0-9_]*)\\)'	534,1007,1466




Cluster i: 1142
total projects:3
total patterns:1
"invalid literal for int().*: '?'?"	12,1087,1580




Cluster i: 1143
total projects:3
total patterns:1
'(^\\s+Invalid write of size )\\d+'	1007,1015,1032




Cluster i: 1144
total projects:3
total patterns:1
'^.*<(()/[\\d\\w_\\+\\.\\-/]*)>.*$'	523,1116,1484




Cluster i: 1145
total projects:3
total patterns:1
'/(tools|libs)/(.*)/(test|example)'	241,874,1249




Cluster i: 1146
total projects:3
total patterns:1
'^[0-9A-Za-z+/]*[0-9A-Za-z+/=]{,2}$'	557,1223,1420




Cluster i: 1147
total projects:3
total patterns:1
'^([^:]+): (\\w+) \\(([\\w\\.]+)\\)'	122,1015,1032




Cluster i: 1148
total projects:3
total patterns:1
'Traceback (most recent call last):'	1007,1015,1032




Cluster i: 1149
total projects:3
total patterns:1
'\\s*(-?\\d+)\\s*-\\s*(-?\\d+)\\s*$'	12,1087,1580




Cluster i: 1150
total projects:3
total patterns:1
'undefined symbol: (.*)\t\\((.*)\\)'	515,1245,1373




Cluster i: 1151
total projects:3
total patterns:1
'.*public static final class id {.*'	1007,1015,1032




Cluster i: 1152
total projects:3
total patterns:1
'^Status against revision:\\s+(\\d+)'	122,1015,1032




Cluster i: 1153
total projects:3
total patterns:1
'^struct +[a-zA-Z_][a-zA-Z0-9_]* *{$'	768,825,1007




Cluster i: 1154
total projects:3
total patterns:1
'==\\d+==\\s+I\\s+refs:\\s+([0-9,]+)'	1007,1015,1032




Cluster i: 1155
total projects:3
total patterns:1
'^([0-9]{4})~([01][0-9])~([0-9]{2})$'	1269,1469,1498




Cluster i: 1156
total projects:3
total patterns:1
